id,note1,note2,note3
1,7.98,7.63,6.53
2,5.15,6.79,7.56
3,6.85,8.35,9.15
4,8.01,6.93,7.91
5,7.76,8.72,9.69
6,8.49,9.24,6.41
7,8.99,9.08,5.87
8,6.23,8.51,5.01
9,7.63,6.54,5.96
10,6.98,8.22,7.52
11,9.82,6.63,7.99
12,7.17,9.84,9.4
13,5.8,9.43,6.73
14,7.97,7.01,8.44
15,5.77,5.89,9.28
16,5.25,6.98,6.86
17,6.04,8.99,8.57
18,9.33,9.03,5.03
19,6.26,6.93,8.9
20,8.25,6.03,6.29
21,5.15,7.04,7.39
22,5.62,9.72,5.81
23,8.55,6.23,8.84
24,7.77,9.68,8.52
25,7.64,5.16,7.97
26,5.46,6.9,8.2
27,7.37,9.54,5.45
28,9.83,9.4,7.47
29,5.27,8.43,9.23
30,5.41,8.58,7.13
31,8.37,7.9,7.88
32,9.19,5.45,6.43
33,5.72,8.25,8.78
34,5.07,7.11,9.94
35,6.2,9.47,8.02
36,8.47,9.36,8.32
37,6.34,9.97,9.8
38,9.9,7.31,7.9
39,8.72,6.25,7.01
40,5.79,6.67,5.67
41,5.99,9.06,6.85
42,8.91,8.96,7.63
43,5.76,7.71,6.23
44,8.0,8.78,8.61
45,8.33,6.21,5.27
46,5.76,5.34,7.03
47,8.57,8.01,6.06
48,9.96,8.39,9.37
49,5.82,8.43,5.27
50,8.84,7.3,7.51
51,6.75,6.08,9.95
52,7.05,5.9,8.5
53,7.95,8.06,9.36
54,8.39,5.89,7.3
55,7.9,9.36,8.75
56,7.56,5.01,8.18
57,8.02,8.43,6.82
58,9.51,6.07,9.08
59,9.69,5.13,8.82
60,5.68,7.54,7.76
61,7.0,8.52,6.78
62,8.9,9.48,6.72
63,7.36,9.56,6.13
64,7.6,6.66,6.94
65,7.55,9.37,6.42
66,7.92,5.39,6.52
67,9.03,7.39,6.35
68,8.52,8.52,7.02
69,9.47,7.08,6.84
70,9.44,5.59,6.08
71,5.53,8.97,6.99
72,9.65,7.59,5.13
73,5.21,8.37,5.0
74,6.79,8.62,7.48
75,7.72,6.64,9.3
76,8.76,6.68,6.63
77,8.35,8.5,7.28
78,8.41,8.23,6.98
79,5.28,9.63,5.31
80,9.92,9.33,5.68
81,7.97,8.78,5.3
82,6.26,7.43,5.45
83,9.24,8.81,8.12
84,9.46,5.4,8.92
85,5.67,7.31,6.34
86,7.97,9.39,7.21
87,9.41,9.25,7.56
88,6.0,5.28,6.67
89,8.55,5.32,5.98
90,5.47,8.31,9.43
91,9.86,6.5,9.25
92,8.28,5.36,9.22
93,7.31,9.65,8.77
94,8.87,6.09,9.59
95,5.63,7.74,8.95
96,9.59,5.17,6.45
97,8.11,8.12,8.6
98,6.33,6.94,6.13
99,6.63,5.75,5.41
100,8.39,6.83,9.79
101,7.2,7.76,9.82
102,8.51,7.5,7.59
103,5.78,5.75,9.67
104,7.13,8.64,8.31
105,7.69,6.82,6.3
106,7.14,9.53,8.05
107,9.85,8.44,5.73
108,9.84,6.87,5.39
109,6.89,9.61,5.7
110,7.17,7.19,6.37
111,8.91,8.39,6.42
112,8.87,7.05,8.51
113,5.42,7.92,9.68
114,7.19,8.38,5.69
115,5.7,6.68,5.13
116,7.07,9.05,8.88
117,8.73,8.66,7.51
118,8.61,7.2,9.57
119,7.71,8.14,9.26
120,9.25,9.18,9.97
121,8.4,8.55,6.1
122,5.42,6.55,6.06
123,5.6,9.64,9.87
124,7.48,5.59,8.66
125,7.59,5.22,8.9
126,6.27,9.5,9.22
127,6.37,6.18,8.21
128,9.72,6.15,8.39
129,8.38,9.78,9.8
130,5.95,8.05,9.35
131,5.93,5.28,8.72
132,5.33,8.74,9.9
133,9.34,9.26,8.04
134,6.55,9.09,9.96
135,8.02,7.61,8.92
136,8.14,7.59,7.57
137,8.61,8.69,5.01
138,5.07,5.66,7.31
139,9.42,6.12,5.54
140,7.55,7.14,6.51
141,9.57,7.69,5.75
142,9.94,9.98,9.4
143,9.67,7.71,8.91
144,7.74,9.08,7.06
145,5.81,7.91,7.29
146,6.9,9.27,6.59
147,9.86,8.57,7.44
148,6.02,6.48,6.54
149,5.57,7.46,5.96
150,9.8,9.14,9.62
